p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
2,200,#pragma clang loop unrolling full,#pragma omp parallel for,256,32,threads,none,9.01252,3787.174350500107
128,200, ,#pragma omp parallel for,16,32,sockets,compact,1.6709049999999999,3808.1850640773773
16,10, ,#pragma omp parallel for,32,256,threads,compact,1.9504100000000002,3829.6303522586823
128,40, ,#pragma omp parallel for,64,2,cores,compact,1.672145,3850.507963180542
128,64,#pragma clang loop unrolling full, ,8,8,cores,none,1.662555,3871.169575214386
16,64, , ,256,4,cores,balanced,1.66098,3891.830227136612
48,10, , ,2,8,threads,none,1.64795,3912.3939468860626
48,20,#pragma clang loop unrolling full,#pragma omp parallel for,256,96,threads,compact,1.65636,3933.049453496933
64,10, , ,64,8,sockets,none,1.6570399999999998,3953.731667995453
2,128,#pragma clang loop unrolling full, ,2,2,cores,scatter,8.634475,3995.2891426086426
16,80,#pragma clang loop unrolling full,#pragma omp parallel for,8,2,sockets,explicit,1.673175,4015.862095117569
256,200, ,#pragma omp parallel for,64,8,cores,explicit,1.684995,4037.1195924282074
8,64,#pragma clang loop unrolling full, ,8,96,threads,compact,3.263935,4062.657432079315
256,128, ,#pragma omp parallel for,64,16,threads,compact,1.6781000000000001,4083.70485830307
64,64,#pragma clang loop unrolling full,#pragma omp parallel for,96,256,sockets,disabled,1.6625649999999998,4104.576269865036
8,160, ,#pragma omp parallel for,128,4,cores,none,2.39152,4127.3466556072235
2,100, , ,4,2,sockets,balanced,8.543535,4168.653922319412
64,20,#pragma clang loop unrolling full, ,16,16,cores,disabled,1.6587800000000001,4189.270897626877
16,80,#pragma clang loop unrolling full, ,4,96,sockets,explicit,1.66622,4209.959122419357
128,20, ,#pragma omp parallel for,8,16,sockets,none,1.6899250000000001,4230.993327856064
2,40, ,#pragma omp parallel for,96,96,cores,scatter,9.151150000000001,4274.34564948082
16,40,#pragma clang loop unrolling full, ,96,4,threads,explicit,1.664085,4295.016483783722
4,80, , ,16,4,threads,balanced,4.4320699999999995,4324.052804231644
