p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,16,80,0.025925999999999998,690.3398489952087
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,8,128,0.03012,698.6597120761871
 , ,80,32,4,0.0011835,706.616455078125
 , ,8,100,32,0.016587,713.9495253562927
#pragma clang loop(j2) pack array(data) allocate(malloc), ,16,2048,32,0.020994,721.3753254413605
 , ,50,32,100,0.0243525,728.9918909072876
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,128,0.025568,737.8697154521942
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,256,0.027727,746.044721364975
 , ,8,64,64,0.022122,753.3127729892731
 , ,32,64,4,0.001199,761.2962803840637
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,16,0.012766,768.9078080654144
 , ,32,50,80,0.0232625,776.3061399459839
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,50,0.023056,785.9106740951538
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,8,16,0.011207,793.3443150520325
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,128,64,0.02341,816.5327334403992
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,256,0.027374,824.0930466651917
#pragma clang loop(j2) pack array(data) allocate(malloc), ,128,20,128,0.028807,832.1497757434845
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,100,0.0240435,839.7797515392303
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,50,128,0.0285735,848.0754854679108
#pragma clang loop(j2) pack array(data) allocate(malloc), ,4,80,64,0.024843999999999998,856.0127582550049
#pragma clang loop(j2) pack array(data) allocate(malloc), ,96,80,64,0.025917999999999997,864.1424152851105
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,80,0.0240435,872.7074067592621
#pragma clang loop(j2) pack array(data) allocate(malloc), ,100,80,256,0.03165,880.9641723632812
