p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,4,64,17.6993745,8028.354209661484
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,80,17.740699,8086.7473320961
 , ,20,8,32,17.680083,8145.059949636459
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,8,17.8442045,8203.56184220314
 , ,96,20,4,17.748692,8261.943771362305
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,2048,256,17.693562,8320.050323963165
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,128,8,17.7030635,8378.39103770256
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,20,100,17.675832,8436.494181394577
 , ,16,2048,32,17.658602,8494.801898241043
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,50,50,17.82513,8553.166630983353
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,128,17.749464500000002,8611.479110479355
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,16,17.7100485,8669.812801122665
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,20,17.7165345,8728.062018871307
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,32,17.6988415,8786.304912567139
 , ,100,8,256,17.707848,8844.557683229446
 , ,80,100,4,17.691308499999998,8902.870815753937
#pragma clang loop(j2) pack array(path) allocate(malloc), ,20,100,80,17.626473500000003,8960.933037757874
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,8,64,17.7157635,9019.105863809586
 , ,50,100,8,17.743212,9077.526386737823
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,16,17.6961185,9135.685641288757
