p1,p2,p3,p4,p5,objective,elapsed_sec
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,100,0.004394,491.6476593017578
#pragma clang loop(j2) pack array(path) allocate(malloc), ,32,50,128,0.0044104999999999995,496.5151765346527
#pragma clang loop(j2) pack array(path) allocate(malloc), ,4,80,64,0.004397,501.36765909194946
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,80,64,0.004396499999999999,506.4320523738861
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,20,80,0.0044069999999999995,511.2726728916168
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,80,256,0.0043975,516.1201508045197
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,20,0.004403000000000001,521.1044399738312
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,50,0.0044,525.9256136417389
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,16,0.004396000000000001,530.7961254119873
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,100,16,0.004403499999999999,535.5881240367889
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,8,80,0.0044045,540.6640169620514
 , ,8,4,128,0.0044005,545.4537999629974
 , ,128,64,8,0.004446,550.4569437503815
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,16,4,0.004402,555.2828500270844
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,32,50,0.0043975,560.1957938671112
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,2048,128,0.004396499999999999,565.0008354187012
#pragma clang loop(j2) pack array(path) allocate(malloc), ,80,32,80,0.0044080000000000005,569.8230874538422
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,64,32,0.0044025,574.8607361316681
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,100,0.0043995,579.7169966697693
 , ,80,80,32,0.004398,584.5464668273926
#pragma clang loop(j2) pack array(path) allocate(malloc), ,96,80,4,0.0043985,589.4081773757935
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,2048,128,0.004396,594.1970796585083
 , ,32,2048,20,0.004399999999999999,599.0161826610565
#pragma clang loop(j2) pack array(path) allocate(malloc), ,100,32,80,0.004394,603.8561367988586
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,16,4,0.0044045,608.7054665088654
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,32,4,0.0043955,613.7397334575653
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,100,0.0043945,618.5595407485962
#pragma clang loop(j2) pack array(path) allocate(malloc), ,8,32,256,0.0043945,623.3666896820068
#pragma clang loop(j2) pack array(path) allocate(malloc), ,16,32,16,0.0044075,628.1643056869507
#pragma clang loop(j2) pack array(path) allocate(malloc), ,128,20,256,0.004397,633.0125873088837
 , ,80,128,128,0.004395,637.8630714416504
 , ,4,64,50,0.004402,642.7438714504242
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,256,0.004402,647.7035524845123
#pragma clang loop(j2) pack array(path) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,128,0.0043995,652.5843689441681
 , ,32,4,64,0.0043955,657.4127404689789
 , ,80,16,20,0.004403,662.416894197464
 , ,32,100,4,0.004406,667.247213602066
 , ,96,16,256,0.0043965,672.1355676651001
#pragma clang loop(j2) pack array(path) allocate(malloc), ,64,4,64,0.0044225,677.8318119049072
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,50,80,0.004394,682.7672736644745
 , ,20,8,32,0.0043890000000000005,687.8355460166931
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,50,8,0.0043945,692.7050609588623
 , ,96,20,4,0.004397,697.5219233036041
