p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,16,0.055126499999999995,1251.6879558563232
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,2048,20,0.048559,1261.6376733779907
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,32,0.055167499999999994,1269.8264009952545
 , ,100,8,256,0.0551265,1278.2062447071075
 , ,80,100,4,0.0551475,1286.5315346717834
#pragma clang loop(i1) pack array(A) allocate(malloc), ,20,100,80,0.054979,1294.7073032855988
#pragma clang loop(i1) pack array(A) allocate(malloc), ,128,8,64,0.055173,1303.04958486557
 , ,50,100,8,0.0551195,1311.3555591106415
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,16,16,0.0551405,1319.818367242813
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,128,0.0550325,1328.093832731247
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,100,0.0534355,1337.04754281044
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,8,0.055064,1345.33318400383
 , ,96,8,50,0.055115,1353.7491662502289
 , ,8,4,16,0.055201,1361.9326333999634
 , ,20,16,64,0.0551185,1370.1359615325928
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,64,100,0.055073,1378.4836671352386
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,50,0.0512445,1387.5163788795471
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,32,0.0551305,1395.8696415424347
 , ,20,8,100,0.0550415,1404.1065247058868
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,0.054969500000000004,1412.2958445549011
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,16,0.055126999999999995,1420.6214673519135
#pragma clang loop(i1) pack array(A) allocate(malloc), ,80,4,256,0.055174,1429.0546729564667
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,256,0.055116,1437.430631160736
 , ,32,100,32,0.0551145,1445.6926035881042
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,80,0.055106,1453.917810201645
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,50,0.055051,1462.3707213401794
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,8,0.0551305,1470.6264281272888
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,64,128,0.0551295,1478.8793306350708
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,8,0.055082,1487.1171884536743
 , ,4,8,64,0.0552495,1495.2584903240204
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,80,20,0.055143,1503.6527462005615
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,128,0.055154499999999995,1511.8511819839478
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,50,0.0551105,1520.091700553894
#pragma clang loop(i1) pack array(A) allocate(malloc), ,50,100,16,0.055093500000000004,1528.2717220783234
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,16,0.0551115,1536.6459498405457
 , ,96,128,100,0.0551325,1544.9480741024017
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,50,0.055140499999999995,1553.2474298477173
 , ,50,8,32,0.055171,1561.5603802204132
 , ,96,16,4,0.0551025,1569.8988616466522
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,100,0.055152,1578.1870942115784
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,2048,100,0.0535775,1587.0634384155273
 , ,20,100,16,0.05512,1595.2717776298523
#pragma clang loop(i1) pack array(A) allocate(malloc), ,4,100,20,0.0551845,1603.6628124713898
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,20,0.0551025,1611.8813309669495
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,4,50,0.0551335,1620.1600408554077
 , ,16,4,100,0.0551645,1628.3407566547394
#pragma clang loop(i1) pack array(A) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,128,20,0.055108000000000004,1636.6308176517487
#pragma clang loop(i1) pack array(A) allocate(malloc), ,8,80,64,0.055062,1644.9891035556793
 , ,100,100,80,0.0551465,1653.1709389686584
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,100,0.0550945,1661.393902540207
#pragma clang loop(i1) pack array(A) allocate(malloc), ,32,8,8,0.055002999999999996,1669.6348502635956
 , ,20,80,80,0.054982,1678.0158154964447
 , ,4,64,80,0.055030499999999996,1686.181207895279
