p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
2,cores,close,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,12.6389,19577.831714630127
2,cores,close,dynamic, ,#pragma unroll,#pragma omp for nowait, ,12.6289,19851.83168911934
2,threads,close,static, , ,#pragma omp for nowait, ,12.6232,20061.830803394318
2,cores,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.628,20271.83165860176
2,threads,close,dynamic, , ,#pragma omp for nowait, ,12.6196,20481.83117032051
64,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.642,20691.831717014313
4,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6134,20901.831642389297
192,sockets,spread,dynamic, , ,#pragma omp for nowait, ,12.6085,21111.83119058609
64,sockets,close,static, , ,#pragma omp for nowait, ,12.6344,21321.83091235161
192,sockets,close,static, , ,#pragma omp for, ,12.6226,21531.831885576248
2,cores,spread,dynamic, , ,#pragma omp for nowait, ,12.6523,21741.831367731094
2,threads,spread,dynamic, , ,#pragma omp for nowait, ,12.6357,21951.830830574036
64,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,12.6052,22161.8306992054
2,cores,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6377,22371.831047296524
2,cores,close,dynamic, , ,#pragma omp for, ,12.6193,22581.831693172455
4,threads,master,static, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,12.6112,22791.831929922104
2,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6189,23001.831924438477
4,sockets,master,dynamic, , ,#pragma omp for nowait, ,12.644,23211.831524848938
64,threads,close,dynamic, , ,#pragma omp for nowait, ,12.6099,23421.83170223236
4,cores,master,dynamic, , ,#pragma omp for nowait, ,12.6269,23631.831709623337
192,cores,spread,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,12.6152,23905.831689596176
192,cores,close,static, , ,#pragma omp for, ,12.6563,24115.8306183815
192,cores,spread,static, , ,#pragma omp for, ,12.6317,24325.831084489822
192,sockets,spread,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6207,24535.83128976822
192,cores,close,static, ,#pragma unroll,#pragma omp for nowait, ,12.6216,24809.83129143715
256,cores,spread,dynamic, , ,#pragma omp for nowait, ,12.6157,25019.831719636917
8,threads,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6197,25229.83168411255
128,sockets,master,dynamic, , ,#pragma omp for nowait, ,12.6117,25439.839720487595
32,cores,close,static, , ,#pragma omp for nowait, ,12.6352,25649.83172917366
192,cores,spread,dynamic, , ,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,12.6025,25859.831576108932
64,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6418,26069.83125782013
4,threads,master,dynamic, , ,#pragma omp for nowait, ,12.6164,26279.832012176514
192,cores,close,dynamic, , ,#pragma omp for, ,12.633,26489.831584453583
64,cores,close,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6488,26699.8316924572
256,threads,spread,static, , ,#pragma omp for nowait, ,12.6782,26908.32548046112
32,threads,spread,static, , ,#pragma omp for nowait, ,12.6059,27117.952265262604
256,threads,master,dynamic, , ,#pragma omp for nowait, ,12.6129,27327.95226931572
256,threads,master,static, , ,#pragma omp for nowait, ,12.6219,27537.951954364777
4,threads,spread,static, , ,#pragma omp for nowait, ,12.6226,27747.95236182213
256,threads,close,dynamic, ,#pragma unroll,#pragma omp for nowait, ,12.6466,28021.951513051987
256,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6468,28231.95166158676
192,cores,master,dynamic, , ,#pragma omp for, ,12.6281,28441.95241880417
64,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6364,28651.952208518982
64,sockets,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6133,28861.95155978203
192,cores,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6112,29073.95192670822
16,cores,spread,static, , ,#pragma omp for nowait, ,12.5843,29283.952344417572
192,threads,spread,static, , ,#pragma omp for nowait, ,12.6032,29493.95105957985
192,cores,close,static, ,#pragma unroll (6),#pragma omp for nowait, ,12.644,29767.952241659164
256,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6198,29977.95250725746
16,sockets,master,dynamic, , ,#pragma omp for nowait, ,12.639,30187.95158648491
256,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait, ,12.6307,30461.95228624344
192,sockets,master,static, , ,#pragma omp for nowait, ,12.647,30671.95226430893
256,threads,close,dynamic, , ,#pragma omp for nowait, ,12.6294,30881.950833797455
8,cores,master,dynamic, , ,#pragma omp for nowait, ,12.6362,31091.951924800873
192,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,12.5949,31366.403835773468
192,cores,spread,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6158,31576.04395198822
4,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.668,31850.043939352036
4,threads,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.61,32060.042881965637
128,threads,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6141,32270.043892145157
4,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,12.6254,32544.043890476227
48,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6363,32754.043957710266
32,cores,spread,static, , ,#pragma omp for nowait, ,12.5987,32964.042696237564
16,cores,master,dynamic, , ,#pragma omp for nowait, ,12.6109,33174.04345417023
16,threads,master,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6241,33384.042573690414
4,threads,spread,dynamic, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6189,33594.04395484924
128,threads,master,dynamic, ,#pragma unroll (6),#pragma omp for nowait, ,12.6407,33868.33189582825
192,cores,close,dynamic, ,#pragma unroll,#pragma omp for nowait, ,12.6166,34144.04395675659
192,threads,spread,dynamic, , ,#pragma omp for, ,12.6218,34354.04266309738
96,threads,master,dynamic, , ,#pragma omp for nowait, ,12.61,34564.04291009903
4,threads,master,dynamic, ,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.6178,34840.04244995117
64,threads,spread,dynamic, , ,#pragma omp for nowait, ,12.6456,35054.042940855026
64,threads,master,static, , ,#pragma omp for nowait, ,12.6935,35268.372391462326
48,threads,master,static, , ,#pragma omp for nowait, ,12.6543,35484.042593955994
64,threads,master,dynamic, ,#pragma unroll,#pragma omp for nowait, ,12.6455,35764.042813539505
32,threads,master,static, , ,#pragma omp for nowait, ,12.6381,35978.45564317703
192,threads,master,static, , ,#pragma omp for nowait, ,12.6423,36192.32116603851
64,threads,spread,static,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6297,36406.113881111145
2,threads,master,static, , ,#pragma omp for nowait, ,12.6569,36620.11385512352
16,threads,master,static, , ,#pragma omp for nowait, ,12.6145,36834.113429546356
128,threads,master,static, ,#pragma unroll,#pragma omp for nowait, ,12.6589,37112.113855838776
4,threads,master,static, ,#pragma unroll,#pragma omp for nowait, ,12.63,37386.56677246094
192,sockets,close,static, , ,#pragma omp for nowait, ,12.6226,37596.212602853775
64,threads,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,12.6201,37806.21244645119
128,cores,spread,static, , ,#pragma omp for nowait, ,12.6393,38016.21314907074
16,threads,spread,static, , ,#pragma omp for nowait, ,12.6196,38226.213131427765
192,cores,spread,dynamic, ,#pragma unroll,#pragma omp for, ,12.6074,38500.21242213249
128,cores,master,static, , ,#pragma omp for nowait, ,12.491,38744.14487910271
128,cores,master,static, , ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.4687,38952.22624015808
128,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.5085,39160.22613573074
128,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.4811,39432.143525123596
128,cores,master,static, ,#pragma unroll (6),#pragma omp for nowait,MPI_Barrier(MPI_COMM_WORLD);,12.4811,39706.14360880852
