p0,p1,p2,p3,p4,p5,p6,p7,objective,elapsed_sec
32,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.84457,26282.206516981125
192,sockets,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,3.89289,26524.205078125
32,cores,close,static, ,#pragma unroll,#pragma omp for nowait, ,3.86037,26766.20555949211
192,cores,spread,static, ,#pragma unroll,#pragma omp for, ,3.8368,27008.205075502396
96,cores,spread,static, ,#pragma unroll,#pragma omp for, ,3.85045,27250.2062125206
256,cores,spread,static, ,#pragma unroll,#pragma omp for, ,3.83477,27490.6990609169
64,cores,spread,static, ,#pragma unroll,#pragma omp for, ,3.83286,27732.492972373962
64,sockets,spread,static, ,#pragma unroll,#pragma omp for, ,3.88205,27974.32752943039
4,cores,spread,static, ,#pragma unroll,#pragma omp for, ,3.91389,28216.32833313942
128,cores,spread,static, ,#pragma unroll,#pragma omp for, ,3.90025,28458.328221082687
16,cores,spread,static, ,#pragma unroll,#pragma omp for, ,3.86134,28700.328379631042
256,cores,spread,static, , ,#pragma omp for, ,3.85253,28878.328251838684
8,cores,spread,static, ,#pragma unroll,#pragma omp for, ,3.85704,29120.328268289566
2,cores,spread,static, ,#pragma unroll,#pragma omp for, ,3.85084,29360.780991077423
256,cores,spread,dynamic, ,#pragma unroll,#pragma omp for, ,3.9681,29610.54502272606
256,sockets,spread,static, ,#pragma unroll,#pragma omp for, ,3.99188,29858.50247693062
32,sockets,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4.00508,30106.421347379684
32,sockets,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.99969,30354.420249700546
32,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,3.99375,30602.421362638474
32,sockets,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,3.98515,30850.50326681137
32,sockets,master,dynamic, ,#pragma unroll,#pragma omp for, ,4.00669,31098.420204877853
256,threads,spread,dynamic, , ,#pragma omp for, ,3.97237,31282.420389413834
32,threads,close,dynamic,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,3.98104,31530.421357154846
32,threads,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4.04965,31778.42132472992
32,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4.01577,32026.420473098755
32,cores,close,static,#pragma omp parallel for, ,#pragma omp for, ,4.01165,32210.421328306198
32,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4.04213,32458.42134642601
32,cores,close,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,4.06245,32706.420255422592
32,cores,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4.03382,32954.42026090622
32,cores,close,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,4.01134,33202.421431303024
32,cores,spread,dynamic, ,#pragma unroll,#pragma omp for, ,4.01458,33450.421926259995
32,cores,close,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,4.1695,33702.42123413086
32,cores,spread,static, , ,#pragma omp for, ,4.0368,33886.421446084976
32,cores,master,static, ,#pragma unroll,#pragma omp for, ,4.001,34134.42026782036
32,threads,close,static, ,#pragma unroll,#pragma omp for nowait, ,4.04355,34382.42136502266
32,cores,master,static,#pragma omp parallel for, ,#pragma omp for nowait, ,4.01939,34566.42143249512
32,cores,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4.02593,34814.42030072212
32,threads,master,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,4.01688,35062.42113876343
32,cores,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for nowait, ,4.05877,35310.42150235176
32,cores,spread,static, ,#pragma unroll,#pragma omp for nowait, ,4.03552,35558.421075344086
32,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,4.022,35742.420223236084
32,cores,spread,dynamic,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4.02426,35990.42031931877
32,sockets,spread,static,#pragma omp parallel for,#pragma unroll,#pragma omp for nowait, ,4.03368,36238.42057681084
32,threads,spread,static,#pragma omp parallel for,#pragma unroll (6),#pragma omp for, ,4.01637,36486.42129945755
32,cores,close,static, ,#pragma unroll,#pragma omp for, ,4.05094,36734.4202401638
32,threads,spread,static, ,#pragma unroll,#pragma omp for, ,4.03596,36982.42003393173
32,threads,master,static,#pragma omp parallel for,#pragma unroll,#pragma omp for, ,4.03231,37230.421712875366
32,cores,master,dynamic,#pragma omp parallel for, ,#pragma omp for nowait, ,4.06215,37414.503781080246
32,cores,master,static, ,#pragma unroll,#pragma omp for nowait, ,4.058,37662.42021036148
32,cores,spread,static,#pragma omp parallel for, ,#pragma omp for, ,4.03761,37846.956511735916
32,cores,close,dynamic,#pragma omp parallel for, ,#pragma omp for, ,4.02088,38032.6176841259
256,cores,spread,static, ,#pragma unroll (6),#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4.01758,38280.618433475494
32,sockets,spread,static, ,#pragma unroll,#pragma omp for, ,4.03918,38528.94795870781
8,cores,spread,static, ,#pragma unroll (6),#pragma omp for, ,4.01011,38776.99095797539
64,cores,spread,static, ,#pragma unroll (6),#pragma omp for, ,4.00528,39024.73170924187
64,cores,spread,static, , ,#pragma omp for, ,4.04809,39208.896236896515
48,cores,spread,static, , ,#pragma omp for, ,4.02167,39392.64998650551
16,cores,spread,static, , ,#pragma omp for, ,4.04457,39576.77265882492
8,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,4.03032,39760.65023303032
2,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,4.06975,39944.65000939369
128,cores,spread,dynamic,#pragma omp parallel for, ,#pragma omp for, ,4.02541,40128.65003180504
8,cores,spread,static, ,#pragma unroll,#pragma omp for,MPI_Barrier(MPI_COMM_WORLD);,4.0165,40376.93835878372
