p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
16,2000,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,128,explicit,threads,0.20553,483.7427577972412
256,1000,#pragma clang loop unrolling full, ,32,64,128,disabled,threads,0.37342,499.2408638000488
64,640, ,#pragma omp parallel for,8,96,40,compact,sockets,0.12206,513.9273133277893
4,2000, ,#pragma omp parallel for,96,2,80,explicit,threads,0.516725,529.8199992179871
48,1280,#pragma clang loop unrolling full, ,32,128,80,compact,cores,0.19244,544.7102148532867
96,1280,#pragma clang loop unrolling full, ,96,16,200,explicit,cores,0.22007,559.3503520488739
192,1000,#pragma clang loop unrolling full,#pragma omp parallel for,4,2,40,none,threads,0.33740499999999995,574.9080030918121
32,800,#pragma clang loop unrolling full,#pragma omp parallel for,128,256,200,compact,cores,0.1372,590.7031395435333
48,2000, , ,8,16,160,scatter,cores,0.21579500000000001,605.4863250255585
16,1600, , ,8,256,200,explicit,threads,0.180135,620.0483725070953
128,2000, , ,256,16,10,compact,threads,0.2815,635.5077848434448
256,2000, ,#pragma omp parallel for,128,256,40,disabled,cores,0.44262999999999997,659.7488203048706
96,640,#pragma clang loop unrolling full,#pragma omp parallel for,128,64,100,disabled,sockets,0.18691000000000002,689.19207239151
4,100,#pragma clang loop unrolling full,#pragma omp parallel for,2,96,160,compact,cores,0.57256,718.8306431770325
2,800,#pragma clang loop unrolling full,#pragma omp parallel for,32,8,64,balanced,sockets,0.973115,744.109281539917
2,400, ,#pragma omp parallel for,4,64,20,compact,sockets,0.980465,764.0538332462311
96,100,#pragma clang loop unrolling full, ,2,8,80,explicit,threads,0.135185,778.4841146469116
96,100,#pragma clang loop unrolling full,#pragma omp parallel for,16,2,40,explicit,threads,0.12699,793.6552476882935
2,1280, ,#pragma omp parallel for,32,256,64,balanced,sockets,0.992345,811.0008578300476
48,2000, ,#pragma omp parallel for,2,96,20,compact,sockets,0.207815,826.205819606781
48,100,#pragma clang loop unrolling full, ,64,4,40,none,threads,0.11038999999999999,840.7720794677734
32,1280,#pragma clang loop unrolling full,#pragma omp parallel for,16,256,10,disabled,threads,0.11494,855.4630641937256
4,200,#pragma clang loop unrolling full, ,256,256,160,balanced,cores,0.48564,871.038204908371
256,800,#pragma clang loop unrolling full,#pragma omp parallel for,4,4,10,scatter,threads,0.247705,887.0587890148163
16,400,#pragma clang loop unrolling full, ,256,64,80,compact,threads,0.17779499999999998,901.6701772212982
96,2000, , ,32,128,160,compact,threads,0.22238,916.409841299057
192,2000, , ,2,128,10,none,sockets,0.40725,932.3024158477783
96,1600, , ,16,256,100,explicit,cores,0.23782,947.1733524799347
48,640,#pragma clang loop unrolling full, ,4,128,20,balanced,threads,0.133965,961.5458500385284
2,200,#pragma clang loop unrolling full, ,16,256,160,scatter,sockets,0.9787950000000001,978.7157049179077
4,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,16,10,explicit,threads,0.499275,994.3298287391663
32,100, ,#pragma omp parallel for,96,256,200,balanced,threads,0.09367,1008.9741053581238
128,400,#pragma clang loop unrolling full,#pragma omp parallel for,96,8,40,compact,cores,0.1306,1024.0520837306976
32,200,#pragma clang loop unrolling full, ,16,32,64,scatter,sockets,0.104525,1038.426307439804
48,2000, ,#pragma omp parallel for,4,2,20,scatter,cores,0.216895,1053.255345582962
256,1280,#pragma clang loop unrolling full,#pragma omp parallel for,64,256,200,explicit,cores,0.41818999999999995,1069.2839059829712
4,400,#pragma clang loop unrolling full,#pragma omp parallel for,256,4,10,scatter,threads,0.49180500000000005,1085.2034168243408
128,2000,#pragma clang loop unrolling full, ,8,8,160,disabled,cores,0.349775,1100.4103481769562
64,2000,#pragma clang loop unrolling full,#pragma omp parallel for,32,96,64,disabled,sockets,0.23064,1121.099469423294
96,640, ,#pragma omp parallel for,128,256,200,explicit,threads,0.221985,1138.8026077747345
64,200, , ,64,32,10,scatter,threads,0.11263000000000001,1153.2473466396332
16,1000, ,#pragma omp parallel for,64,256,200,balanced,threads,0.14183,1167.9416210651398
48,1600, , ,16,32,80,scatter,sockets,0.17857,1182.5362849235535
8,200,#pragma clang loop unrolling full,#pragma omp parallel for,32,64,128,explicit,threads,0.24690499999999999,1197.6435811519623
192,1000, , ,256,2,100,balanced,sockets,0.263495,1212.4959135055542
4,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,128,64,disabled,threads,0.502905,1228.5548865795135
4,400,#pragma clang loop unrolling full, ,32,32,200,balanced,threads,0.488325,1244.0347480773926
32,800,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,200,none,sockets,0.09804,1258.6717891693115
4,800, , ,2,4,80,none,threads,0.49546500000000004,1274.0984716415405
8,800, ,#pragma omp parallel for,64,16,200,disabled,sockets,0.257905,1289.022986650467
192,400, ,#pragma omp parallel for,256,256,160,scatter,sockets,0.19217,1304.1426141262054
256,1000,#pragma clang loop unrolling full,#pragma omp parallel for,256,128,80,disabled,sockets,0.37703,1319.906864643097
256,1600, ,#pragma omp parallel for,64,2,10,balanced,sockets,0.40019,1335.7525792121887
48,100,#pragma clang loop unrolling full, ,8,128,160,explicit,sockets,0.111905,1351.5096633434296
128,640,#pragma clang loop unrolling full, ,2,128,160,none,sockets,0.23883500000000002,1366.1471138000488
8,400,#pragma clang loop unrolling full,#pragma omp parallel for,4,256,40,scatter,sockets,0.250795,1381.2783825397491
