p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
16,640,#pragma clang loop unrolling full, ,64,96,200,none,cores,1.2715999999999998,1962.8734612464905
8,2000, ,#pragma omp parallel for,64,128,100,explicit,threads,2.507335,1988.5808176994324
4,640,#pragma clang loop unrolling full, ,128,128,20,scatter,threads,4.972165,2017.9199314117432
32,2000, , ,4,2,40,explicit,sockets,0.9521850000000001,2034.8453469276428
16,1600,#pragma clang loop unrolling full, ,2,256,128,balanced,sockets,1.269765,2052.807460784912
32,1280,#pragma clang loop unrolling full, ,256,8,20,explicit,threads,0.9512499999999999,2069.6843762397766
192,400,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,200,none,sockets,1.083035,2087.767399787903
48,100, , ,64,4,128,compact,sockets,0.930925,2105.1439089775085
48,1600,#pragma clang loop unrolling full, ,16,32,80,balanced,sockets,1.031135,2122.36647105217
8,1600,#pragma clang loop unrolling full,#pragma omp parallel for,4,96,100,balanced,sockets,2.475905,2143.9842627048492
48,1280,#pragma clang loop unrolling full, ,96,64,128,balanced,sockets,0.997395,2161.238872051239
128,200, , ,16,128,80,explicit,sockets,1.0126,2178.3864352703094
192,2000,#pragma clang loop unrolling full,#pragma omp parallel for,8,8,20,scatter,threads,1.290035,2196.581708908081
16,100, , ,4,32,64,scatter,sockets,1.3112249999999999,2214.5628757476807
8,200, , ,256,32,160,disabled,cores,2.55152,2236.0751516819
2,200,#pragma clang loop unrolling full, ,64,16,80,balanced,sockets,9.759015,2279.2463507652283
128,1600,#pragma clang loop unrolling full,#pragma omp parallel for,2,8,40,scatter,sockets,1.1651500000000001,2297.067010164261
192,1600,#pragma clang loop unrolling full,#pragma omp parallel for,4,32,80,explicit,cores,1.350795,2316.0944998264313
16,800, ,#pragma omp parallel for,32,4,64,scatter,cores,1.317605,2334.3955726623535
4,800,#pragma clang loop unrolling full, ,64,96,10,compact,threads,5.790274999999999,2366.5180327892303
2,1280, ,#pragma omp parallel for,16,96,100,compact,sockets,9.857845000000001,2410.426497936249
256,1600,#pragma clang loop unrolling full,#pragma omp parallel for,16,64,40,none,threads,1.41276,2429.746737718582
96,800, ,#pragma omp parallel for,4,128,64,explicit,cores,1.0682900000000002,2447.4544291496277
2,2000, ,#pragma omp parallel for,96,256,100,none,threads,9.972525000000001,2491.485293149948
16,100, , ,32,32,40,scatter,threads,1.304525,2509.382575273514
