p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,2048,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.3615355,485.5641152858734
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,32,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.404418,528.0358874797821
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,100,4,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.3768869999999999,561.9192955493927
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,128,256, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,2.122997,601.3160769939423
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,128,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.4239349999999999,655.2308976650238
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,100,2048,8, , , , ,490,545,600,655,710,0.448736,701.8801307678223
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,100,16, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.8964624999999999,740.3567113876343
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.4438705,782.1841285228729
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,128,32,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,1.2959969999999998,823.1634476184845
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,4, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.52462,871.900075674057
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,128,128, , ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,2.0039594999999997,914.2000341415404
 , , ,64,128,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.46596,974.5319452285768
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,100,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.9812135,1016.2080743312836
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,2048,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,490,545,600,655,710,0.4688825,1054.2515802383425
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,490,545,600,655,710,0.4900375,1106.0793812274933
 , , ,100,50,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.4796935,1177.291396856308
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,100,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.3567125,1211.5998179912567
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,16,16,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.9470755,1251.5194301605225
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), ,#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),490,545,600,655,710,0.4493345,1353.3192994594574
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,2048,8, , ,#pragma clang loop(j2) pack array(E) allocate(malloc), ,490,545,600,655,710,0.4552495,1400.0549590587616
