p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,20,128,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,120,130,140,150,0.00454,1158.7018303871157
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,80,100,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,120,130,140,150,0.018594,1225.8564994335177
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,8,20,64, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),110,120,130,140,150,0.017824,1287.268522024155
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,120,130,140,150,0.0045205,1379.9577136039734
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,120,130,140,150,0.0042699999999999,1430.0855796337128
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,16,100, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.0196345,1487.0370869636536
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,96,4,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,120,130,140,150,0.0048155,1527.5572652816772
 , , ,8,50,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc), , ,110,120,130,140,150,0.003895,1584.1128141880035
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,4,100, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc),#pragma clang loop(i1) pack array(F) allocate(malloc),110,120,130,140,150,0.020222,1684.8491830825806
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,4,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,120,130,140,150,0.0038385,1784.6571111679077
