p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,t0,t1,t2,t3,t4,objective,elapsed_sec
 , , ,100,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,110,120,130,140,150,0.0044224999999999,950.4241156578064
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,110,120,130,140,150,0.004422,1029.3276326656342
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,100,8,#pragma clang loop(j2) pack array(C) allocate(malloc), , , ,110,120,130,140,150,0.0045095,1067.4999940395355
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,64,4, ,#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.0038504999999999,1122.4474701881409
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,20,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.0038374999999999,1205.6597888469696
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,80,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.003837,1256.0717585086825
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,32,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.0040435,1332.5634226799011
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,128,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.0036865,1404.1888828277588
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,2048,4,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), , ,110,120,130,140,150,0.003554,1454.9034152030945
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,64,256,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.021049,1520.0921938419342
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,128,2048,8,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc),#pragma clang loop(j2) pack array(E) allocate(malloc), ,110,120,130,140,150,0.004385,1568.4838862419128
