p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,objective,elapsed_sec
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.000487,365.1565806865692
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,80, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0016150000000000001,374.36699414253235
 , , ,16,32,16, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0004685,385.4836645126343
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,128,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0016105,394.7660884857178
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,16, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0005585,405.24572134017944
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,20, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0004935,416.9470100402832
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,100, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.001616,426.33868408203125
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,100, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0016395,435.71228671073914
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,20,#pragma clang loop(j2) pack array(C) allocate(malloc),#pragma clang loop(i1) pack array(D) allocate(malloc), ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0004915,447.3897271156311
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,32,128, , , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0016129999999999999,456.95578122138977
 , , ,80,32,20,#pragma clang loop(j2) pack array(C) allocate(malloc), , ,#pragma clang loop(i1) pack array(F) allocate(malloc),0.0003235,468.8040657043457
