p0,p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,4,50,0.003783,809.8238577842712
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,20,0.003939,817.348192691803
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,2048,32,0.0019535,824.9124853610992
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,50,20,0.003819,831.9602780342102
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,2048,4,0.005089,838.4101998806
 , , ,4,20,64,0.0039195,845.4249818325043
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,8,8,0.0079785,859.4959247112274
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,64,4,0.0096755,867.8195385932922
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,128,16,0.0042924999999999994,876.3940358161926
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,20,80,0.0022164999999999997,885.474169254303
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,128,32,0.003901,891.9396748542786
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,2048,4,0.005740500000000001,899.1565454006195
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,50,32,0.004024,907.1542000770569
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,50,64,0.0014025,914.8843915462494
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,32,8,0.0042965,922.3041687011719
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,100,0.004354,929.9831528663635
 , , ,128,8,50,0.003535,938.0484781265259
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,2048,4,0.010794999999999999,946.0159459114075
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,64,16,100,0.006585,953.9522020816803
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,50,8,0.003394,962.4534754753113
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,128,4,0.004881,969.5468697547913
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,32,0.003614,977.3634452819824
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,100,20,0.0053974999999999995,986.7473559379578
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,96,20,4,0.0100845,995.4666202068329
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,0.004089,1002.3153426647186
 , , ,100,8,128,0.004104,1010.3430376052856
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,0.0050415,1016.9441084861755
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,80,64,0.003711,1024.5458314418793
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,8,0.005182,1032.5790615081787
 , , ,16,16,80,0.004403,1038.9435110092163
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,64,0.005858,1046.720311164856
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,16,0.0041225,1054.7845840454102
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,32,8,4,0.0048555000000000004,1063.2500278949738
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,100,50,16,0.0042474999999999995,1071.659675836563
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,0.0037489999999999997,1078.912300825119
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,50,0.00375,1086.2101430892944
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,4,64,20,0.0040895,1093.479974269867
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,0.0066755,1102.1962490081787
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.0038965,1110.0075979232788
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,0.0040444999999999995,1117.4639959335327
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,32,0.0037819999999999998,1127.5244779586792
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,64,16,4,0.0053675,1134.2678065299988
 , , ,80,16,256,0.0044085,1140.8443987369537
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,64,64,0.0035605000000000003,1147.9122664928436
 , , ,100,50,50,0.0040125000000000004,1155.6785144805908
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,80,64,20,0.004514,1163.54847407341
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,128,50,0.0062135,1171.965002298355
 ,#pragma clang loop(i1) pack array(B) allocate(malloc), ,50,64,8,0.0041135,1180.1654992103577
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,64,80,0.0014854999999999998,1189.22118806839
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,80,100,256,0.0051400000000000005,1197.263079404831
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,20,20,20,0.004266,1205.4768164157867
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,20,0.003882,1212.6872689723969
 , , ,128,32,128,0.004482,1219.2229433059692
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,4,4,0.006061,1227.4314727783203
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,8,20,0.0038485,1235.3565139770508
 ,#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,32,20,0.0036195000000000003,1242.3510105609894
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,20,80,0.0066265000000000004,1250.6810882091522
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,0.006227,1259.1030504703522
 , , ,4,64,4,0.0056105,1266.067953824997
 , , ,64,20,4,0.005154499999999999,1272.5443830490112
 , , ,50,100,256,0.0044954999999999995,1278.8469076156616
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,20,0.003968,1286.6098744869232
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,50,128,32,0.006385,1295.2801542282104
 , , ,128,32,50,0.0037185,1301.9947400093079
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(i1) pack array(B) allocate(malloc), ,8,128,64,0.004543,1310.6880145072937
